name,new_price,old_price,stars,observations,Savings,discount
NOMA SurfaceElite™ High Power Bagless Corded Upright Vacuum Cleaner,199.99,7.99,0.0,0,-192.0,-24.03
"Tim Hortons Classic Lungo, Nespresso Compatible Coffee Capsules, 52-g, 10-pk",7.0,9.99,0.0,0,2.99,0.3
"For Living Tufted Bathroom Mat, Dark Grey, 17-in x 24-in",6.99,87.99,0.0,0,81.0,0.92
"LUXPRO 2849 Lumen Slim IPX4 Rated Easy-Grip Rechargeable LED Work Light with 3 Light Modes, Black",69.99,109.99,0.0,0,40.0,0.36
"CANVAS Young 1-Light Pendant Light with Clear Glass Shade, Matte Black",87.99,49.99,0.0,0,-37.99999999999999,-0.76
"Bluehive Magnetic Wireless Power Bank, Black",19.99,26.99,3.3,3,7.0,0.26
"Tide Power Pods Laundry Detergent Pacs with Febreze Sport Freshness, 48 Count",24.29,28.99,0.0,0,4.699999999999999,0.16
"Duracell Coppertop Alkaline AAA Batteries, 24-pk",22.99,9.99,4.6,2965,-12.999999999999998,-1.3
"For Living Tufted Bathroom Mat, Aqua, 17-in x 24-in",6.99,32.99,0.0,0,26.0,0.79
"Peerless® Weston Single Bathroom Towel Bar/Rack, Chrome, 24-in",19.79,29.99,0.0,0,10.2,0.34
"For Living Plug in Pendant Light, White",23.99,7.99,0.0,0,-15.999999999999998,-2.0
"Tim Hortons Bold Espresso, Nespresso Compatible Coffee Capsules, 52-g, 10-pk",7.0,14.99,0.0,0,7.99,0.53
Chuckit Indoor Tumble Bumper,13.49,31.99,1.0,1,18.5,0.58
"Cascade Platinum Plus ActionPacs Dishwasher Detergent Pods, Fresh, 51 Count",20.69,22.99,4.8,605,2.299999999999997,0.1
"CANVAS Euclid 1-Light Pendant Light with Woven Shade, White",111.99,139.99,0.0,0,28.000000000000014,0.2
"Dawn Ultra Oxi Dish Soap, Dishwashing Liquid, Lemon Scent, 2.21 L",11.69,12.99,0.0,0,1.3000000000000007,0.1
"Cascade Platinum Dishwasher Detergent Pods, Fresh, 39 Count",16.19,17.99,0.0,0,1.7999999999999972,0.1
"Palmolive Essentials Clean Liquid Dish Soap, Assorted Scents, 4.27-L",10.34,11.49,2.1,7,1.1500000000000004,0.1
"MotoMaster Handheld Work Light, PWR POD Compatible",29.99,59.99,4.0,2,30.000000000000004,0.5
Chuckit Rope Fetch,21.59,23.99,3.0,4,2.3999999999999986,0.1
Mastercraft 180-Lumen Handheld Waterproof Spotlight,14.99,45.99,5.0,1,31.0,0.67
"Black & Decker Non-Stick Rice Cooker & Steamer, 28 Cups",59.99,89.99,0.0,0,29.999999999999993,0.33
"Spray Nine Glass/Stainless Steel Surface Cleaner Spray, Streak-Free Shine, 600-g",7.19,7.99,0.0,0,0.7999999999999998,0.1
"Petco Plush Pig Dog Toy, Small",3.5,3.99,4.4,579,0.4900000000000002,0.12
"Vida by PADERNO Variable Temperature Glass Kettle, 1.7-L",49.99,99.99,0.0,0,49.99999999999999,0.5
"Old Dutch Cold Water Liquid Laundry Detergent, Biodegradable, 2-L",3.0,4.99,0.0,0,1.9900000000000002,0.4
"Bounty Select-A-Size Paper Towel, Double Rolls, 2-pk",5.0,13.99,4.5,5373,8.99,0.64
"Bounce Fresh Linen Scented Fabric Softener Dryer Sheets, 250 count",12.59,29.99,4.7,772,17.4,0.58
"Bluehive 45 Watt Carbon Fiber Car Charger with USB-C & USB-A Ports, Black",19.99,22.49,5.0,1,2.5,0.11
"3M™ Filtrete™ Allergen Defense Micro Allergen Filter, MPR 1000, 14 x 25 x 1-in, 1-pk",17.99,179.99,4.7,467,162.0,0.9
Hoover CleanSlate Pet Plus Carpet & Upholstery Corded Portable Spot Deep Cleaner,129.99,499.99,0.0,0,370.0,0.74
Shark Navigator® Lift-Away® Upright Vacuum with PowerFins,249.99,3.49,4.8,69,-246.5,-70.63
Chewmasters Chomp Dog Bar,3.14,3.99,0.0,0,0.8500000000000001,0.21
Petco Party Animal Plush Dog Toy,3.5,18.99,0.0,0,15.489999999999998,0.82
"Keurig Folgers Hazelnut Cream Mild & Smooth K-Cup® Coffee Pods, 270-g, 30-pk",17.99,109.99,0.0,0,92.0,0.84
"CANVAS Thorne 1-Light Pendant Light with Twine Shade, Matte Black",87.99,89.99,0.0,0,2.0,0.02
NOMA iQ 35 Pint 2-Speed ENERGY STAR® Most Efficient Dehumidifier,269.99,319.99,4.5,4,50.0,0.16
Trudeau 12 Bottle Revolving Square Spice Rack Carousel,29.99,59.99,0.0,0,30.000000000000004,0.5
"Bodum Electric Cordless Gooseneck Water Kettle with Auto Shut Off, Black, 0.8-L",49.99,74.99,0.0,0,24.999999999999993,0.33
"MAXIMUM 4-in-1 Hybrid Aluminum Hand Truck & Cart w/ Pneumatic Tires, 800-lb/1000-lb",249.99,449.99,5.0,2,200.0,0.44
"3M™ Filtrete™ Allergen Defense Micro Allergen Filter, MPR 1000, 20 x 25 x 1-in, 1-pk",17.99,22.49,4.7,467,4.5,0.2
Shark AI VACMOP Self-Empty with CleanEdge,499.99,749.99,4.4,21,250.0,0.33
"For Living 1-Light Ceiling Pendant Light, Matte White",51.99,64.99,0.0,0,12.999999999999993,0.2
"Accuweight Digital Bathroom Scale, Wood/Tempered Glass, 400-lb",19.99,34.99,0.0,0,15.000000000000004,0.43
"3M™ Filtrete™ Allergen Defense Micro Allergen Filter, MPR 1000, 16 x 24 x 1-in, 1-pk",17.99,22.49,4.7,467,4.5,0.2
"For Living 1-Light Ceiling Pendant Light, Matte Black",63.99,79.99,0.0,0,15.999999999999993,0.2
Hoover ONEPWR® Evolve Pet Elite Cordless Vacuum Kit,299.99,449.99,4.6,92,150.0,0.33
Hamilton Beach Power Elite Blender with Wave~Action,44.99,64.99,0.0,0,19.999999999999993,0.31
"White Recycled Bath Mat, 20-in x 34-in",19.99,29.99,0.0,0,10.0,0.33
"For Living 5-Reversible Blade 3-Speed Ceiling Fan with Lights, 44-in, Black",114.99,149.99,3.0,1,35.000000000000014,0.23
"3M™ Filtrete™ Allergen Defense Micro Allergen Filter, MPR 1000, 20 x 20 x 1-in, 1-pk",17.99,22.49,4.7,467,4.5,0.2
Chuckit Rugged Flyer,14.39,15.99,3.4,16,1.5999999999999996,0.1
"CANVAS Sifton 1-Light Pendant Light with Clear Glass Shade, Matte Black",54.99,69.99,0.0,0,14.999999999999993,0.21
"Cyclone 80 CFM 1.0 Sone Compact Bath Fan with DC Motor, White",59.99,69.99,0.0,0,9.999999999999993,0.14
"Petco Plush Hedgeicorn Dog Toy, Small",3.5,3.99,0.0,0,0.4900000000000002,0.12
"Reynolds Kitchens® Unbleached Non-Stick Air Fryer Liners, 50-pc",8.99,9.99,4.0,1,1.0,0.1
"Bluehive 30 Watt USB-C Fast Charge PD Wall Charger for Smartphones & MacBook Air, White",19.99,29.99,4.9,8,10.0,0.33
Petco Plush Racoon with Rope Dog Toy,3.5,3.99,0.0,0,0.4900000000000002,0.12
